group,search_keyword,title,authors,date,publisher,url
Token-based Authentication,NFC wearable authentication,A Lightweight Security Algorithm for Authenticating Mobile Transactions using Wearable Devices and ECC Based Signcryption,"A Harrish, S David",2024,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10717138/
Token-based Authentication,NFC wearable authentication,Swing-pay: One card meets all user payment and identity needs: A digital card module using NFC and biometric authentication for peer-to-peer payment,"S Ghosh, A Majumder, J Goswami…",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7786798/
Token-based Authentication,NFC wearable authentication,Secure and lightweight authentication with key agreement for smart wearable systems,"J Li, N Zhang, J Ni, J Chen, R Du",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9052004/
Multi-Factor Authentication,wearable multi-factor authentication,Multi-factor authentication for wearables: Configuring system parameters with risk function,"S Bezzateev, A Afanasyeva, N Voloshina…",2017,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3231830.3231834
Multi-Factor Authentication,wearable multi-factor authentication,Challenges of multi-factor authentication for securing advanced IoT applications,"A Ometov, V Petrov, S Bezzateev, S Andreev…",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8675176/
Multi-Factor Authentication,wearable multi-factor authentication,Wearable authentication: Trends and opportunities,"A Bianchi, I Oakley",2016,degruyter.com,https://www.degruyter.com/document/doi/10.1515/itit-2016-0010/html
Multi-Factor Authentication,wearable multi-factor authentication,ZEMFA: zero-effort multi-factor authentication based on multi-modal gait biometrics,"B Shrestha, M Mohamed…",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8949032/
Multi-Factor Authentication,wearable multi-factor authentication,Multi-factor authentication: A survey,"A Ometov, S Bezzateev, N Mäkitalo, S Andreev…",2018,mdpi.com,https://www.mdpi.com/2410-387X/2/1/1
Multi-Factor Authentication,wearable multi-factor authentication,A review of multi-factor authentication in the Internet of Healthcare Things,"T Suleski, M Ahmed, W Yang, E Wang",2023,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/20552076231177144
Multi-Factor Authentication,wearable multi-factor authentication,Body area networks in the era of 6G: an evaluation of modern biometrics regarding multi-factor-authentication,"J Herbst, L Bergkemper, J Petershans…",2022,researchgate.net,https://www.researchgate.net/profile/Christoph-Lipps-3/publication/365713331_Body_Area_Networks_in_the_Era_of_6G_An_Evaluation_of_Modern_Biometrics_regarding_Multi-Factor-Authentication/links/637f9edfc2cb154d2921a76e/Body-Area-Networks-in-the-Era-of-6G-An-Evaluation-of-Modern-Biometrics-regarding-Multi-Factor-Authentication.pdf
Multi-Factor Authentication,wearable multi-factor authentication,Hybrid Smartwatch Multi-factor Authentication,"JG Maes, KA Rahman…",2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10152114/
Multi-Factor Authentication,wearable multi-factor authentication,Highly Efficient Bidirectional Multifactor Authentication and Key Agreement for Real-Time Access to Sensor Data,A Braeken,2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10147376/
Multi-Factor Authentication,wearable multi-factor authentication,Camera based two factor authentication through mobile and wearable devices,"M Azimpourkivi, U Topkara, B Carbunar",2017,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3131904
Multi-Factor Authentication,wearable two-factor authentication,Camera based two factor authentication through mobile and wearable devices,"M Azimpourkivi, U Topkara, B Carbunar",2017,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3131904
Multi-Factor Authentication,wearable two-factor authentication,PPGPass: Nonintrusive and secure mobile two-factor authentication via wearables,"Y Cao, Q Zhang, F Li, S Yang…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9155380/
Multi-Factor Authentication,wearable two-factor authentication,Listening watch: Wearable two-factor authentication using speech signals resilient to near-far attacks,"P Shrestha, N Saxena",2018,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3212480.3212501
Multi-Factor Authentication,wearable two-factor authentication,Gesture-related two-factor authentication for wearable devices via PPG sensors,"X Zhou, J Pan, Z Zhang, X Ji, H Chen",2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10109506/
Multi-Factor Authentication,wearable two-factor authentication,Towards nonintrusive and secure mobile two-factor authentication on wearables,"Y Cao, F Li, Q Zhang, S Yang…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9645232/
Multi-Factor Authentication,wearable two-factor authentication,Magauth: Secure and usable two-factor authentication with magnetic wrist wearables,"Y Zhang, D Han, A Li, L Zhang, T Li…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9400761/
Multi-Factor Authentication,wearable two-factor authentication,P2Auth: Two-Factor Authentication Leveraging PIN and Keystroke-Induced PPG Measurements,"Y Su, G Jiang, Y Du, Y Chen, H Liu…",2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10272531/
Multi-Factor Authentication,wearable two-factor authentication,A lightweight and secure two-factor authentication scheme for wireless body area networks in health-care IoT,"M Fotouhi, M Bayat, AK Das, HAN Far, SM Pournaghi…",2020,Elsevier,https://www.sciencedirect.com/science/article/pii/S1389128619316457
Multi-Factor Authentication,wearable two-factor authentication,PressHeart: A Two-Factor Authentication Mechanism via PPG Signals for Wearable Devices,"W Zhang, X Zhou, H Chen",2024,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10622232/
Multi-Factor Authentication,wearable two-factor authentication,Two factor authentication made easy,"AQ Chen, W Goh",2015,Springer,https://link.springer.com/chapter/10.1007/978-3-319-19890-3_29
Multi-Factor Authentication,wearable behavioral and physiological authentication,Wearable device user authentication using physiological and behavioral metrics,"S Vhaduri, C Poellabauer",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8292272/
Multi-Factor Authentication,wearable behavioral and physiological authentication,A continuous identity authentication scheme based on physiological and behavioral characteristics,"G Wu, J Wang, Y Zhang, S Jiang",2018,mdpi.com,https://www.mdpi.com/1424-8220/18/1/179
Multi-Factor Authentication,wearable behavioral and physiological authentication,Multi-modal biometric-based implicit authentication of wearable device users,"S Vhaduri, C Poellabauer",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8691571/
Multi-Factor Authentication,wearable behavioral and physiological authentication,Recent advances in biometrics-based user authentication for wearable devices: A contemporary survey,"S Liu, W Shao, T Li, W Xu, L Song",2022,Elsevier,https://www.sciencedirect.com/science/article/pii/S1051200421001597
Multi-Factor Authentication,wearable behavioral and physiological authentication,Sensor-based implicit authentication through learning user physiological and behavioral characteristics,"J Zhang, Z Li, H Zhang, W Zhang, Z Ling…",2023,Elsevier,https://www.sciencedirect.com/science/article/pii/S0140366423002141
Multi-Factor Authentication,wearable behavioral and physiological authentication,Behavioral biometrics for continuous authentication in the internet-of-things era: An artificial intelligence perspective,"Y Liang, S Samtani, B Guo, Z Yu",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9121981/
Multi-Factor Authentication,wearable behavioral and physiological authentication,A usable and robust continuous authentication framework using wearables,"A Acar, H Aksu, AS Uluagac…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9001165/
Multi-Factor Authentication,wearable behavioral and physiological authentication,Enhancing security through continuous biometric authentication using wearable sensors,"LD Chhibbar, S Patni, S Todi, A Bhatia, K Tiwari",2024,Elsevier,https://www.sciencedirect.com/science/article/pii/S2542660524003159
Multi-Factor Authentication,wearable behavioral and physiological authentication,Summary: Multi-modal biometric-based implicit authentication of wearable device users,"S Vhaduri, C Poellabauer",2019,arxiv.org,https://arxiv.org/abs/1907.06563
Multi-Factor Authentication,wearable behavioral and physiological authentication,Biometric-based wearable user authentication during sedentary and non-sedentary periods,"S Vhaduri, C Poellabauer",2018,arxiv.org,https://arxiv.org/abs/1811.07060
Motion and Sensor-based Authentication,IMU-based authentication,Secure user verification and continuous authentication via earphone imu,"J Liu, W Song, L Shen, J Han…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9841001/
Motion and Sensor-based Authentication,IMU-based authentication,Mandipass: Secure and usable user authentication via earphone imu,"J Liu, W Song, L Shen, J Han, X Xu…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9546415/
Motion and Sensor-based Authentication,IMU-based authentication,Dictionary Attack on IMU-based Gait Authentication,"R Kumar, C Isik, CK Mohan",2023,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3605764.3623909
Motion and Sensor-based Authentication,IMU-based authentication,Design and validation of an IMU based full hand kinematic measurement system,"P Shenoy, A Gupta, SKM Varadhan",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9870778/
Motion and Sensor-based Authentication,IMU-based authentication,IMU-based gait recognition using convolutional neural networks and multi-sensor fusion,"O Dehzangi, M Taherisadr, R ChangalVala",2017,mdpi.com,https://www.mdpi.com/1424-8220/17/12/2735
Motion and Sensor-based Authentication,IMU-based authentication,Inertiear: Automatic and device-independent imu-based eavesdropping on smartphones,"M Gao, Y Liu, Y Chen, Y Li, Z Ba…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9796890/
Motion and Sensor-based Authentication,IMU-based authentication,Validation of an IMU-based gait analysis method for assessment of fall risk against traditional methods,"S García-de-Villa, LR Ruiz, GGV Neira…",2024,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10613372/
Motion and Sensor-based Authentication,IMU-based authentication,Accuracy validation of a wearable IMU-based gait analysis in healthy female,"Y He, Y Chen, L Tang, J Chen, J Tang, X Yang…",2024,Springer,https://link.springer.com/article/10.1186/s13102-023-00792-3
Motion and Sensor-based Authentication,IMU-based authentication,Reliability of IMU-based balance assessment in clinical stroke rehabilitation,"RAW Felius, M Geerars, SM Bruijn, NC Wouda…",2022,Elsevier,https://www.sciencedirect.com/science/article/pii/S0966636222004702
Motion and Sensor-based Authentication,IMU-based authentication,IMU-based motion capture system for rehabilitation applications: A systematic review,"C Gu, W Lin, X He, L Zhang, M Zhang",2023,Elsevier,https://www.sciencedirect.com/science/article/pii/S2667379723000116
Motion and Sensor-based Authentication,accelerometer-based authentication,Accelerometer-based device fingerprinting for multi-factor mobile authentication,"T Van Goethem, W Scheepers, D Preuveneers…",2016,Springer,https://link.springer.com/chapter/10.1007/978-3-319-30806-7_7
Motion and Sensor-based Authentication,accelerometer-based authentication,Accelerometer-based speed-adaptive gait authentication method for wearable IoT devices,"F Sun, C Mao, X Fan, Y Li",2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8421575/
Motion and Sensor-based Authentication,accelerometer-based authentication,Improved cycle detection for accelerometer based gait authentication,"MO Derawi, P Bours, K Holien",2010,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5635767/
Motion and Sensor-based Authentication,accelerometer-based authentication,uWave: Accelerometer-based personalized gesture recognition and its applications,"J Liu, L Zhong, J Wickramasuriya…",2009,Elsevier,https://www.sciencedirect.com/science/article/pii/S1574119209000674
Motion and Sensor-based Authentication,accelerometer-based authentication,Studying WiFi and accelerometer data based authentication method on mobile phones,"G Li, P Bours",2018,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3230820.3230824
Motion and Sensor-based Authentication,accelerometer-based authentication,Accelerometer-based biometric gait recognition for authentication on smartphones,C Nickel,2012,tuprints.ulb.tu-darmstadt.de,https://tuprints.ulb.tu-darmstadt.de/3014/4/20120620_Dissertation_Nickel_final.pdf
Motion and Sensor-based Authentication,accelerometer-based authentication,Accuth: Accelerometer-based Anti-Spoofing Voice Authentication on Wrist-worn Wearables,"F Han, P Yang, H Du, XY Li",2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10250998/
Motion and Sensor-based Authentication,accelerometer-based authentication,A novel mobilephone application authentication approach based on accelerometer and gyroscope data,"G Li, P Bours",2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8553503/
Motion and Sensor-based Authentication,accelerometer-based authentication,Context-aware active authentication using smartphone accelerometer measurements,"A Primo, VV Phoha, R Kumar…",2014,cv-foundation.org,https://www.cv-foundation.org/openaccess/content_cvpr_workshops_2014/W01/html/Primo_Context-Aware_Active_Authentication_2014_CVPR_paper.html
Motion and Sensor-based Authentication,accelerometer-based authentication,Accelerometer-based mobile device identification system for the realistic environment,"Z Ding, M Ming",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8827450/
Motion and Sensor-based Authentication,gyroscope-based authentication,A novel mobilephone application authentication approach based on accelerometer and gyroscope data,"G Li, P Bours",2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8553503/
Motion and Sensor-based Authentication,gyroscope-based authentication,Toward usable and accessible two-factor authentication based on the piezo-gyro channel,"Y Oren, D Arad",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9709298/
Motion and Sensor-based Authentication,gyroscope-based authentication,Gyroscope-based Secure NFC payment system using signatures,"W Go, S Ryu, J Kwak",2012,search.proquest.com,https://search.proquest.com/openview/09c42619c544fbfe0546d73f09962fd8/1?pq-origsite=gscholar&cbl=936334
Motion and Sensor-based Authentication,gyroscope-based authentication,Evaluation of software PUF based on gyroscope,"K Fukushima, A Yoshimura, S Kiyomoto…",2019,Springer,https://link.springer.com/chapter/10.1007/978-3-030-34339-2_13
Motion and Sensor-based Authentication,gyroscope-based authentication,Evaluation of Software PUF Based on Gyroscope,N Yamasaki,2019,books.google.com,https://books.google.com/books?hl=en&lr=&id=APK-DwAAQBAJ&oi=fnd&pg=PA232&dq=gyroscope-based+authentication&ots=F8lh-crML6&sig=04ibXFYhMxfTTtR_SC9idHyHLcY
Motion and Sensor-based Authentication,gyroscope-based authentication,Gyroscope-Based Smartphone Model Identification via WaveNet and EfficientNetV2 Ensemble,"E Kiymik, AE Öztörk",2024,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10811928/
Motion and Sensor-based Authentication,gyroscope-based authentication,Dynamic authentication with sensory information for the access control systems,"Y Shu, YJ Gu, J Chen",2013,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6522100/
Motion and Sensor-based Authentication,gyroscope-based authentication,Signing in the air w/o constraints: robust gesture-based authentication for wrist wearables,"C Huang, Z Yang, H Chen…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8253995/
Motion and Sensor-based Authentication,gyroscope-based authentication,ESP spoofing: Covert acoustic attack on MEMS gyroscopes in vehicles,"Z Hong, X Li, Z Wen, L Zhou, H Chen…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9903073/
Motion and Sensor-based Authentication,gyroscope-based authentication,Mobile Communication Among COTS IoT Devices via a Resonant Gyroscope With Ultrasound,"F Lin, M Gao, L Zhang, Y Li, W Xu, J Han…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9905668/
Motion and Sensor-based Authentication,motion sensor authentication,Performance analysis of multi-motion sensor behavior for active smartphone authentication,"C Shen, Y Li, Y Chen, X Guan…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8006292/
Motion and Sensor-based Authentication,motion sensor authentication,Performance analysis of motion-sensor behavior for user authentication on smartphones,"C Shen, T Yu, S Yuan, Y Li, X Guan",2016,mdpi.com,https://www.mdpi.com/1424-8220/16/3/345
Motion and Sensor-based Authentication,motion sensor authentication,A hybrid deep learning system for real-world mobile user authentication using motion sensors,"T Zhu, Z Weng, G Chen, L Fu",2020,mdpi.com,https://www.mdpi.com/1424-8220/20/14/3876
Motion and Sensor-based Authentication,motion sensor authentication,Motionauth: Motion-based authentication for wrist worn smart devices,"J Yang, Y Li, M Xie",2015,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7134097/
Motion and Sensor-based Authentication,motion sensor authentication,Robustness analysis of motion sensor guided air authentication system,"SK Behera, S Bhoi, DP Dogra…",2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8370657/
Motion and Sensor-based Authentication,motion sensor authentication,SmartCAMPP-Smartphone-based continuous authentication leveraging motion sensors with privacy preservation,"L Hernández-Álvarez, JM De Fuentes…",2021,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167865521001434
Motion and Sensor-based Authentication,motion sensor authentication,Continuous user authentication using smartwatch motion sensor data,"N Al-Naffakh, N Clarke, F Li",2018,Springer,https://link.springer.com/chapter/10.1007/978-3-319-95276-5_2
Motion and Sensor-based Authentication,motion sensor authentication,User authentication based on foot motion,"D Gafurov, P Bours, E Snekkenes",2011,Springer,https://link.springer.com/article/10.1007/s11760-011-0249-1
Motion and Sensor-based Authentication,motion sensor authentication,Understanding keystroke dynamics for smartphone users authentication and keystroke dynamics on smartphones built‐in motion sensors,"H Lee, JY Hwang, DI Kim, S Lee…",2018,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1155/2018/2567463
Motion and Sensor-based Authentication,motion sensor authentication,Movement based biometric authentication with smartphones,"AL Fantana, S Ramachandran…",2015,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7389688/
Motion and Sensor-based Authentication,wearable activity recognition authentication,Activity recognition using wearable computing,"N Al-Naffakh, N Clarke, P Dowland…",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7856695/
Motion and Sensor-based Authentication,wearable activity recognition authentication,Authentication of smartphone users based on activity recognition and mobile sensing,"M Ehatisham-ul-Haq, MA Azam, J Loo, K Shuang…",2017,mdpi.com,https://www.mdpi.com/1424-8220/17/9/2043
Motion and Sensor-based Authentication,wearable activity recognition authentication,Internet of Things data analytics for user authentication and activity recognition,"S Batool, NA Saqib, MA Khan",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7946428/
Motion and Sensor-based Authentication,wearable activity recognition authentication,A usable and robust continuous authentication framework using wearables,"A Acar, H Aksu, AS Uluagac…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9001165/
Motion and Sensor-based Authentication,wearable activity recognition authentication,"You walk, we authenticate: lightweight seamless authentication based on gait in wearable IoT systems","P Musale, D Baek, N Werellagama, SS Woo…",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8672772/
Motion and Sensor-based Authentication,wearable activity recognition authentication,Deep learning approaches for continuous authentication based on activity patterns using mobile sensing,"S Mekruksavanich, A Jitpattanakul",2021,mdpi.com,https://www.mdpi.com/1424-8220/21/22/7519
Motion and Sensor-based Authentication,wearable activity recognition authentication,Multi-modal biometric-based implicit authentication of wearable device users,"S Vhaduri, C Poellabauer",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8691571/
Motion and Sensor-based Authentication,wearable activity recognition authentication,WearIA: Wearable device implicit authentication based on activity information,"Y Zeng, A Pande, J Zhu…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7974305/
Motion and Sensor-based Authentication,wearable activity recognition authentication,Arm movement activity based user authentication in P2P systems,"J Shin, MR Islam, MA Rahim, HJ Mun",2020,Springer,https://link.springer.com/article/10.1007/s12083-019-00775-7
Motion and Sensor-based Authentication,wearable activity recognition authentication,Smartphone User Identification and Authentication Based on Raw Accelerometer Walking Activity Data Using Convolutional Neural Networks,"P Kumar, S Suresh",2021,Springer,https://link.springer.com/chapter/10.1007/978-981-33-4893-6_4
Biometric-based Authentication,ECG-based authentication wearable,ECG authentication system design based on signal analysis in mobile and wearable devices,"SJ Kang, SY Lee, HI Cho, H Park",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7412667/
Biometric-based Authentication,ECG-based authentication wearable,A privacy-preserving ECG-based authentication system for securing wireless body sensor networks,"W Yang, S Wang",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9527321/
Biometric-based Authentication,ECG-based authentication wearable,Ecg biometric authentication: A comparative analysis,"M Ingale, R Cordeiro, S Thentu, Y Park…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9123339/
Biometric-based Authentication,ECG-based authentication wearable,ElectroCardioGram (ECG)-based user authentication using deep learning algorithms,"V Agrawal, M Hazratifard, H Elmiligi, F Gebali",2023,mdpi.com,https://www.mdpi.com/2075-4418/13/3/439
Biometric-based Authentication,ECG-based authentication wearable,Activity-aware ECG-based patient authentication for remote health monitoring,"JC Sriram, M Shin, T Choudhury, D Kotz",2009,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1647314.1647378
Biometric-based Authentication,ECG-based authentication wearable,ECG based authentication for e-healthcare systems: Towards a secured ECG features transmission,"EK Zaghouani, A Benzina, R Attia",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7986553/
Biometric-based Authentication,ECG-based authentication wearable,E-safe: Smart Ecg-based Authentication On-wrist Healthcare Wearable System.,"M Baklouti, F Othmen",2022,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=1816093X&AN=160495712&h=kvvxhCwsoH1ACfo3t21%2B7ER21CLb6tbFoeDc8farN5wwUKdw%2B0lCwQUe4H4TPYElss0dOBR8DVZWBVnU8QQxsw%3D%3D&crl=c
Biometric-based Authentication,ECG-based authentication wearable,ECG based user authentication for wearable devices using short time Fourier transform,"SY Chun, JH Kang, H Kim, C Lee…",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7760964/
Biometric-based Authentication,ECG-based authentication wearable,Feasibility of biometric authentication using wearable ECG body sensor based on higher-order statistics,"S Šprager, R Trobec, MB Jurič",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7973431/
Biometric-based Authentication,ECG-based authentication wearable,Practical privacy-preserving ECG-based authentication for IoT-based healthcare,"P Huang, L Guo, M Li, Y Fang",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8764500/
Biometric-based Authentication,PPG-based authentication wearable,Trueheart: Continuous authentication on wrist-worn wearables using ppg-based biometrics,"T Zhao, Y Wang, J Liu, Y Chen…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9155526/
Biometric-based Authentication,PPG-based authentication wearable,Your heart won't lie: PPG-based continuous authentication on wrist-worn wearable devices,"T Zhao, Y Wang, J Liu, Y Chen",2018,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3241539.3267748
Biometric-based Authentication,PPG-based authentication wearable,PPGPass: Nonintrusive and secure mobile two-factor authentication via wearables,"Y Cao, Q Zhang, F Li, S Yang…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9155380/
Biometric-based Authentication,PPG-based authentication wearable,Wearable Bio-Signal (PPG)-Based Personal Authentication Method Using Random Forest and Period Setting Considering the Feature of PPG Signals.,"SW Lee, DK Woo, YK Son, PS Mah",2019,jcomputers.us,http://www.jcomputers.us/vol14/jcp1404-05.pdf
Biometric-based Authentication,PPG-based authentication wearable,Gesture-related two-factor authentication for wearable devices via PPG sensors,"X Zhou, J Pan, Z Zhang, X Ji, H Chen",2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10109506/
Biometric-based Authentication,PPG-based authentication wearable,M-PPG: A Non-intrusive Authentication for Wearable Devices via PPG Sensors with Motor Excitations,"J Pan, X Zhou, Y Hou, X Ji, H Chen",2024,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10643462/
Biometric-based Authentication,PPG-based authentication wearable,Enhancing security through continuous biometric authentication using wearable sensors,"LD Chhibbar, S Patni, S Todi, A Bhatia, K Tiwari",2024,Elsevier,https://www.sciencedirect.com/science/article/pii/S2542660524003159
Biometric-based Authentication,PPG-based authentication wearable,Continuous User Authentication via PPG,"X Guo, Y Wang, J Cheng, Y Chen",2024,Springer,https://link.springer.com/chapter/10.1007/978-3-031-57345-3_8
Biometric-based Authentication,PPG-based authentication wearable,Novel robust photoplethysmogram-based authentication,"L Pu, PJ Chacon, HC Wu, JW Choi",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9691326/
Biometric-based Authentication,PPG-based authentication wearable,PPG Based Biometric Authentication System,"V Gurunathan, K Vignesh…",2024,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10561095/
Biometric-based Authentication,ECG-based authentication wearable,"A validation of six wearable devices for estimating sleep, heart rate and heart rate variability in healthy adults","DJ Miller, C Sargent, GD Roach",2022,mdpi.com,https://www.mdpi.com/1424-8220/22/16/6317
Biometric-based Authentication,ECG-based authentication wearable,"Continuous authentication of wearable device users from heart rate, gait, and breathing data","W Cheung, S Vhaduri",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9224356/
Biometric-based Authentication,ECG-based authentication wearable,Feasibility of biometric authentication using wearable ECG body sensor based on higher-order statistics,"S Šprager, R Trobec, MB Jurič",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7973431/
Biometric-based Authentication,ECG-based authentication wearable,Multi-modal biometric-based implicit authentication of wearable device users,"S Vhaduri, C Poellabauer",2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8691571/
Biometric-based Authentication,ECG-based authentication wearable,Wearable device user authentication using physiological and behavioral metrics,"S Vhaduri, C Poellabauer",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8292272/
Biometric-based Authentication,ECG-based authentication wearable,Wearable devices suitable for monitoring twenty four hour heart rate variability in military populations,"K Hinde, G White, N Armstrong",2021,mdpi.com,https://www.mdpi.com/1424-8220/21/4/1061
Biometric-based Authentication,ECG-based authentication wearable,ECG authentication system design based on signal analysis in mobile and wearable devices,"SJ Kang, SY Lee, HI Cho, H Park",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7412667/
Biometric-based Authentication,ECG-based authentication wearable,Can wearable devices accurately measure heart rate variability? A systematic review,"K Georgiou, AV Larentzakis, NN Khamis…",2018,researchgate.net,https://www.researchgate.net/profile/Nehal-Khamis/publication/323417048_Can_Wearable_Devices_Accurately_Measure_Heart_Rate_Variability_A_Systematic_Review/links/5be3ccee92851c6b27aef69e/Can-Wearable-Devices-Accurately-Measure-Heart-Rate-Variability-A-Systematic-Review.pdf
Biometric-based Authentication,ECG-based authentication wearable,Biometric Authentication from ECG Signals on Wearable Devices,VK Bottenvik,2019,uis.brage.unit.no,https://uis.brage.unit.no/uis-xmlui/handle/11250/2620311
Biometric-based Authentication,ECG-based authentication wearable,Transparent authentication: Utilising heart rate for user authentication,"TS Enamamu, N Clarke…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8356401/
Biometric-based Authentication,EEG-based authentication wearable,A survey on methods and challenges in EEG based authentication,"AJ Bidgoly, HJ Bidgoly, Z Arezoumand",2020,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167404820300730
Biometric-based Authentication,EEG-based authentication wearable,A review of EEG-based user authentication: trends and future research directions,"CA Fidas, D Lyras",2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10058960/
Biometric-based Authentication,EEG-based authentication wearable,E-bias: A pervasive eeg-based identification and authentication system,"J Sohankar, K Sadeghi, A Banerjee…",2015,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2815317.2815341
Biometric-based Authentication,EEG-based authentication wearable,DeepKey: an EEG and gait based dual-authentication system,"X Zhang, L Yao, C Huang, T Gu, Z Yang…",2017,arxiv.org,https://arxiv.org/abs/1706.01606
Biometric-based Authentication,EEG-based authentication wearable,Survey of EEG-based biometric authentication,"I Jayarathne, M Cohen…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8256471/
