category,subcategory,title,authors,date,year,Accuracy,BER,EER,F1,FAR,FPR,FNR,FRR,Precision,Recall,TPR,Device,Proposed Scheme,Target Goal,open science,publisher,url,cite
Biometric-based Authentication,PPG Authentication ,M-PPG: A Non-intrusive Authentication for Wearable Devices via PPG Sensors with Motor Excitations,"J Pan, X Zhou, Y Hou, X Ji, H Chen",2024,2024,94.50%,,,88.74%,,,,,,,,Built-in PPG sensor,"A PPG-based authentication mechanism that incorporates an embedded motor sensor, which can authenticate user identity without any user intervention",User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10643462/,~\cite{pan2024m}
Biometric-based Authentication,PPG Authentication ,PressHeart: A Two-Factor Authentication Mechanism via PPG Signals for Wearable Devices,"Weihao Zhang;
Xinyan Zhou;
Haiming Chen",2024,2024,94.90%,,,,,,,,,,,Wearables,"A two-factor authentication mechanism, PressHeart, which utilizes widely-used Photoplethysmography (PPG) sensors embedded in wearable devices",User authentication,No,IEEE,https://ieeexplore.ieee.org/document/10622232/,~\cite{zhang2024pressheart}
Biometric-based Authentication,PPG Authentication ,PPG Based Biometric Authentication System,"Gurunathan V;
Vignesh K;
Sathiyapriya T;
Surya S;
Ishwarya Niranjana. M;
Ashok Lakshmanan L R",2024,2024,98%,,0.25,,,,,,,,,Wearables,"An authentication system harnessing PPG technology, ensuring ongoing validation compared to conventional methods",User authentication,No,IEEE,https://ieeexplore.ieee.org/document/10561095/,~\cite{gurunathan2024ppg}
Biometric-based Authentication,PPG Authentication ,A Highly Reliable PPG Authentication System Based on an Improved AI Model with Dynamic Weighted Triplet Loss Function,"Yang Yang;
Wai-Chi Fang",2024,2024,97.40%,,2.30%,,1%,,,4.60%,,,,Wearables,A feature embedding model using a loss function to capture feature differences and extract vectors for similarity evaluation,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/10557922/,~\cite{yang2024highly}
Biometric-based Authentication,Voice Authentication ,Continuous authentication with touch behavioral biometrics and voice on wearable glasses,"G Peng, G Zhou, DT Nguyen, X Qi…",2016,2016,,,4.88%,,,,,,,,,Google Glass,"GlassGuard discriminates the owner and an impostor with behavioral biometrics from six types of touch gestures (single-tap, swipe forward, swipe backward, swipe down, two-finger swipe forward, and two-finger swipe backward) and voice commands, which are all available during normal user interactions",User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7756355/,~\cite{peng2016continuous}
Biometric-based Authentication,Voice Authentication ,Vocal resonance: Using internal body voice for wearable authentication,"R Liu, C Cornelius, R Rawassizadeh…",2018,2018,87.5% - 96.1%,,,,,,,,,,,,"Using of vocal resonance, that is, the sound of the person's voice as it travels through the person's body",User authentication and identification ,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3191751,~\cite{liu2018vocal}
Biometric-based Authentication,Odor-Based Authentication,Human Body Odor Based Authentication Using Machine Learning,"Bin Yang;
Wonjun Lee",2018,2018,,,,,,,,,,,,,Using human body odor,User authentication and identification ,No,IEEE,https://ieeexplore.ieee.org/document/8628697/,~\cite{yang2018human}
Biometric-based Authentication,Voice Authentication ,Vocalprint: exploring a resilient and secure voice authentication via mmwave biometric interrogation,"H Li, C Xu, AS Rathore, Z Li, H Zhang, C Song…",2020,2020,96%,,,,,,,,,,,,A resilient mmWave interrogation system which directly captures and analyzes the vocal vibrations for user authentication,User authentication ,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3384419.3430779,~\cite{li2020vocalprint}
Biometric-based Authentication,Voice Authentication ,Chestlive: Fortifying voice-based authentication with chest motion biometric on smart devices,"Y Chen, M Xue, J Zhang, Q Guan, Z Wang…",2021,2021,98.31%,,,,,,,,,,,,"Deriving Channel Energy (CE) of acoustic signals to capture the chest movement, and then remove the static and non-static interference from the aggregated CE signals",User authentication ,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3494962,~\cite{chen2021chestlive}
Biometric-based Authentication,Voice Authentication ,Vogue: Secure user voice authentication on wearable devices using gyroscope,"S Chang, X Hu, H Zhu, W Liu…",2022,2022,,,,,2.23%,,,2.48%,,,,,"A method captures unique yet stable pattern of speech movement sequences of speakers with embedded gyroscope in wearable devices, to distinguish between registered legal user and malicious attackers (human or machines)",User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9918548/,~\cite{chang2022vogue}
Biometric-based Authentication,Voice Authentication ,VOGUE: Secure User Voice Authentication on Wearable Devices using Gyroscope,"Shan Chang;
Xinggan Hu;
Hongzi Zhu;
Wei Liu;
Lei Yang",2022,2022,,,,,2.23%,,,2.48%,,,,,"Capturing unique yet stable pattern of speech movement sequences of speakers with embedded gyroscope in wearable devices, to distinguish between registered legal user and malicious attackers (human or machines)",User authentication ,No,IEEE,https://ieeexplore.ieee.org/document/9918548/,~\cite{chang2022vogue}
Biometric-based Authentication,Voice Authentication ,Eve Said Yes: AirBone Authentication for Head-Wearable Smart Voice Assistant,"C Huang, H Zhong, J Lian, P Prakash, D Shi…",2023,2023,95.50%,,1.10%,,,,,,,,,head-wearable devices,A method exploits multiple useful authentication factors from the air-bone signals and only requires users to speak for authentication,User authentication ,No,arxiv.org,https://arxiv.org/abs/2309.15203,~\cite{huang2023eve}
Biometric-based Authentication,Voice Authentication ,SAFARI: Speech-Associated Facial Authentication for AR/VR Settings via Robust VIbration Signatures,"Tianfang Zhang, Qiufan Ji, Zhengkun Ye",12/1/24 0:00,2024,,,,,,,,,,,96%,AR/VR,Eliciting phoneticinvariant biometrics from the facial muscle vibrations upon the headset. ,User authentication ,No,ACM,https://dl.acm.org/doi/10.1145/3658644.3670358,~\cite{zhang2024safari}
Biometric-based Authentication,Voice Authentication ,PiezoBud: A Piezo-Aided Secure Earbud with Practical Speaker Authentication,"Gen Li, Huaili Zeng, Hanqing Guo, Yidong Ren, Aiden Dixon",11/1/24 0:00,2024,,,1.05%,,,,,,,,,Earables,"Using miniature piezoelectric sensors to detect micro-vibrations on the skin, extracting user-specific biometric data to authenticate legitimate access on the local smartphone and protect against malicious attacks",User authentication ,Yes,ACM,https://dl.acm.org/doi/10.1145/3666025.3699358,~\cite{li2024piezobud}
Continuous Authentication,Continuous Authentication ,Wearable device user authentication using physiological and behavioral metrics,"S Vhaduri, C Poellabauer",2017,2017,92.97%,,,,,,,,,,,Wearables,"Using coarse-grain minutelevel physical activity (step counts) and physiological data (heart rate, calorie burn, and metabolic equivalent of task)",User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8292272/,~\cite{vhaduri2017wearable}
Continuous Authentication,Continuous Authentication ,WACA: Wearable-assisted continuous authentication,"A Acar, H Aksu, AS Uluagac…",2018,2018,99.20%,,,,,,,,,,,Smartwatch,"A usable and reliable Wearable-Assisted Continuous Authentication (WACA), which relies on the sensor-based keystroke dynamics and the authentication data is acquired through the built-in sensors of a wearable (e.g., smartwatch) while the user is typing",User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8424658/,~\cite{acar2018waca}
Continuous Authentication,Continuous Authentication ,Hands-Free one-Time and continuous authentication using glass wearable devices,"D Damopoulos, G Kambourakis",2019,2019,88%,,,,,,,,,,,Google Glass,"A system that enables users to authenticate with a service simply by issuing a voice command, while facing the computer terminal they are going to use to access the service",User authentication ,No,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214212618305714,~\cite{damopoulos2019hands}
Continuous Authentication,Continuous Authentication ,A Continuous User Authentication System Based on Galvanic Coupling Communication for s‐Health,"F Nakayama, P Lenz, S Banou…",2019,2019,98.66%,,,,,,,,,,,PPG Gravity Heart Rate Monitor Sensor," A novel biosignal authentication system, in which the photoplethysmogram (PPG) biosignal and a galvanic coupling (GC) channel lead to continuous, seamless, and secure user authentication",User authentication,No,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1155/2019/9361017,~\cite{nakayama2019continuous}
Continuous Authentication,Continuous Authentication ,A usable and robust continuous authentication framework using wearables,"A Acar, H Aksu, AS Uluagac…",2020,2020,91.8% - 99.2%,,0.0647,,,,,,,,,Smartwatch,"A usable and reliable Wearable-Assisted Continuous Authentication (WACA), which relies on the sensor-based keystroke dynamics and the authentication data is acquired through the built-in sensors of a wearable (e.g., smartwatch) while the user is typing",User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9001165/,~\cite{acar2020usable}
Continuous Authentication,Continuous Authentication ,"Continuous Authentication of Wearable Device Users from Heart Rate, Gait, and Breathing Data","William Cheung;
Sudip Vhaduri",2020,2020,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/9224356/,~\cite{}
Continuous Authentication,Continuous Authentication ,GaitCode: Gait-based continuous authentication using multimodal learning and wearable sensors,"I Papavasileiou, Z Qiao, C Zhang, W Zhang, J Bi, S Han",2021,2021,,,0.01% - 0.16%,,0.54% � 1.96%,,,,,,,Wearables,A gait-based continuous authentication method by applying multimodal learning on jointly recorded accelerometer and ground contact force data from smart wearable devices,User authentication ,No,Elsevier,https://www.sciencedirect.com/science/article/pii/S2352648320300544,~\cite{papavasileiou2021gaitcode}
Continuous Authentication,Continuous Authentication ,Gait-based continuous authentication using a novel sensor compensation algorithm and geometric features extracted from wearable sensors,"S Lee, S Lee, E Park, J Lee, IY Kim",2022,2022,94.16% - 99.63%,,0.3% - 5.84%,,,,,,,,,9-axis IMU sensor, A sensor compensation algorithm that overcomes various factors that may occur in the real world and new 2D cyclogram features to improve user authentication performance,User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9947076/,~\cite{lee2022gait}
Continuous Authentication,Continuous Authentication ,Continuous Authentication Using Human-Induced Electric Potential,"Srinivasan Murali, Wenqiang Jin, Vighnesh Sivaraman, Huadi Zhu",12/1/23 0:00,2023,,,2.30%,,,,,,,,,Wearables,A two-factor continuous authentication that explores a new form of signal called human-induced electric potential captured by wearables in contact with the user�s body,User authentication,No,ACM,https://dl.acm.org/doi/10.1145/3627106.3627124,~\cite{murali2023continuous}
Continuous Authentication,Continuous Authentication ,Activity Attribute-Based User Behavior Model for Continuous User Authentication,"Luthfi Azhari, Ari Moesriami Barmawi",7/1/23 0:00,2023,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3586102.3586113,~\cite{}
Continuous Authentication,Continuous Authentication ,Enhancing security through continuous biometric authentication using wearable sensors,"LD Chhibbar, S Patni, S Todi, A Bhatia, K Tiwari",2024,2024,,,4.80%,,,4.83%,4.88%,,,,,Wearable with PPG sensors,A system that employs Long Short-Term Memory (LSTM) models to predict subsequent PPG values from wrist-worn devices and continuously compare them with real-time sensor data for authentication,User authentication,No,Elsevier,https://www.sciencedirect.com/science/article/pii/S2542660524003159,~\cite{chhibbar2024enhancing}
Continuous Authentication,Continuous Authentication ,Wristpass: Secure wearable continuous authentication via ultrasonic sensing,"X Fang, J Liu, Y Chen, X Xu…",2024,2024,96.70%,,,,,,,,,,,Smartwatch,"A replay-resistant continuous authentication system on smartwatches, namely WristPass",User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10682871/,~\cite{fang2024wristpass}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Design of secure and lightweight authentication protocol for wearable devices environment,"AK Das, M Wazid, N Kumar, MK Khan…",2017,2017,,,,,,,,,,,,Wearables,A protocol allow mutual authentication between a wearable device W Dj and mobile terminal MTi worn or carried by a user Ui,User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8039175/,~\cite{das2017design}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,A Secure Healthcare System Design Framework using Blockchain Technology,"Sabyasachi Chakraborty;
Satyabrata Aich;
Hee-Cheol Kim",2019,2019,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/8701983/,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Secure and lightweight authentication with key agreement for smart wearable systems,"J Li, N Zhang, J Ni, J Chen, R Du",2020,2020,,,,,,,,,,,,Wearables,"A secure and lightweight authentication and key agreement scheme (SLAKA) by using the fuzzy extractor, the cryptographic hash function, and the bitwise exclusive-or operation",User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9052004/,~\cite{li2020secure}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Lightweight mutual authentication and privacy-preservation scheme for intelligent wearable devices in industrial-CPS,"MA Jan, F Khan, R Khan, S Mastorakis…",2020,2020,,,,,,,,,,,,,A lightweight mutual authentication scheme  based on client-server interaction model that uses symmetric encryption for establishing secured sessions among the communicating entities,Privacy-preserving,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9290438/,~\cite{jan2020lightweight}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,A distributed biometric authentication scheme based on blockchain,"Foteini Toutara;
Georgios Spathoulas",2020,2020,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/9284651/,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Health Record Chain (HRC): Implementation of Mobile Healthcare system using Blockchain to enhance Privacy of Electronic Health Record EHR,"Arij Alfaidi;
Edward Chow",2020,2020,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/9457984/,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,A decentralised authentication and access control mechanism for medical wearable sensors data,"M Abubakar, Z Jaroucheh, A Al Dubai…",2021,2021,,,,,,,,,,,,Wearables,"Using a smart contract on the blockchain, which allows for delegated access control and secure user authentication",User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9524172/,~\cite{abubakar2021decentralised}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Blockchain-based Distributed Authentication Mechanism for Internet-of-Things Devices,Ahmad Mostafa,1/1/21 0:00,2021,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3436829.3436876,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,A Decentralised Authentication and Access Control Mechanism for Medical Wearable Sensors Data,"Mwrwan Abubakar;
Zakwan Jaroucheh;
Ahmed Al Dubai;
Bill Buchanan",2021,2021,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/9524172/,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Resource-efficient authenticated data sharing mechanism for smart wearable systems,"M Tanveer, M Ahmad, TN Nguyen…",2022,2022,,,,,,,,,,,,Wearables,"The proposed method ensures efficient and secure data sharing among smart wearable devices by incorporating an authenticated mechanism that minimizes resource consumption.
The proposed method ensures efficient and secure data sharing among smart wearable devices by incorporating an authenticated mechanism that minimizes resource consumption.",User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9875976/,~\cite{tanveer2022resource}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Blockchain-based Secure Medical Data Management and Disease Prediction,"Meiquan Wang, Huiru Zhang, Haoyang Wu, Guangshun Li, Keke Gai",5/1/22 0:00,2022,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3494106.3528678,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Research Progress and Trend Prospect of Blockchain Technology Application in Logistics and Supply Chain Information System under Pandemic-hit,"Heng Li, Gan Wang, Fang Wang",10/1/22 0:00,2022,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3559795.3559800,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Blockchain-based data access security solutions for medical wearables,"H Lin, Q He, J Hu, X Wang",2023,2023,,,,,,,,,,,,,Using elliptic curve encryption algorithm and zero-knowledge authentication method to authenticate the identity of patients and doctors in the blockchain network,User authentication ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10141877/,~\cite{lin2023blockchain}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,hChain: Blockchain Based Healthcare Data Sharing with Enhanced Security and Privacy Location-Based-Authentication,"Musharraf N. Alruwaill, Saraju P. Mohanty, Elias Kougianos",6/1/23 0:00,2023,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3583781.3590255,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,An Optimized Blockchain-based Data Transmission System for Telemedicine,"Antonino Galletta, Armando Ruggeri, Massimo Villari",12/1/23 0:00,2023,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3631309.3632835,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Blockchain based Authentication and Privacy Preservation in IoMT Devices,"Sakshi Rajvanshi;
Sachin Sharma",2023,2023,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/10434087/,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Counterfeit medicine detection through Blockchain,"Anubhuti Mohindra, Swastik Singh, Doyel Agrawal",10/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3675888.3676066,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,"DEBAI '24: Proceedings of the International Conference on Digital Economy, Blockchain and Artificial Intelligence",,12/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/proceedings/10.1145/3700058,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,Towards Enhanced Data Integrity and Accountability: Leveraging Blockchain Technology in Healthcare,"Athanasios Koulianos, Panagiotis Paraskevopoulos, Antonios Litke",6/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3652037.3663889,~\cite{}
Cryptographic and Blockchain-based Authentication,Blockchain Authentication ,ICBTA '24: Proceedings of the 2024 7th International Conference on Blockchain Technology and Applications,,1/1/25 0:00,2025,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/proceedings/10.1145/3708622,~\cite{}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,An authentication protocol for wearable medical devices,"WJ Long, W Lin",2017,2017,,,,,,,,,,,,,An efficient authentication and encryption protocol for internetconnected wearable devices using the recognized standards of AES and SHA that can provide two-way authentication between wearable device and remote server and protection of patient privacy against various network threats,Two-way authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8263140/,~\cite{long2017authentication}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,An authentication protocol for wearable medical devices,"William J. Long;
Wei Lin",2017,2017,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/8263140/,~\cite{}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,Enhanced Lightweight Cloud-assisted Mutual Authentication Scheme for Wearable Devices,"Mehmood Hassan;
Khwaja Mansoor;
Shahzaib Tahir;
Waseem Iqbal",2019,2019,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/8853659/,~\cite{}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,A Yoking-Proof Based Remote Authentication Scheme for Cloud-Aided Wearable Devices (YPACW),"Bhawna Narwal;
Arushi Ojha;
Nimisha Goel;
Sudipti Dhawan",2020,2020,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/9298234/,~\cite{}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,A Yoking-Proof and PUF-based Mutual Authentication Scheme for Cloud-aided Wearable Devices,Nishtha Mehndiratta,2020,2020,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/9298349/,~\cite{}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,Anonymous authenticated key agreement and group proof protocol for wearable computing,"Y Guo, Z Zhang, Y Guo",2021,2021,,,,,,,,,,,,,"A new anonymous authentication and group proof protocol for wearable computing, which achieves mutual authentication between the wearable device and user and between user and cloud server, and generates a group proof for multiple wearable devices",Mutual authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9312435/,~\cite{guo2021anonymous}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,Cross Body Signal Pairing (CBSP): A Key Generation Protocol for Pairing Wearable Devices with Cardiac and Respiratory Sensors,"Jafar Pourbemany, Ye Zhu",12/1/23 0:00,2023,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3627106.3627185,~\cite{}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,Lightweight Mutual Authentication and Key Agreement Scheme for Wearable Devices in Fog-enabled WBAN,"Rachida Hireche;
Houssem Mansouri;
Yasmine Harbi;
Al-Sakib Khan Pathan",2023,2023,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/10322083/,~\cite{}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,A Lightweight Authentication and Key Agreement Protocol for IoT-Based Smart Healthcare System,"Sangjukta Das;
Maheshwari Prasad Singh;
Suyel Namasudra",2023,2023,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/10235225/,~\cite{}
Cryptographic and Blockchain-based Authentication,Cryptographic Authentication ,SEPTON Toolkit application: An overview of the security techniques used from wearable medical devices to physician’s healthcare platform,"Emmanouil Bakiris, Nikos Papadakis, Victoria Katsarou, Nick Alampasis",6/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3652037.3663888,~\cite{}
Device-based Authentication,AR-Based Authentication,Doodle-based authentication technique using augmented reality,"W Wazir, HA Khattak, A Almogren, MA Khan…",2020,2020,,,,,,,,,,,,AR/VR,A novel authentication technique with a fusion of graphical doodle password approach and AR environments,User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8947984/,~\cite{wazir2020doodle}
Device-based Authentication,AR-Based Authentication,MoveAR: Continuous biometric authentication for augmented reality headsets,"A Bhalla, I Sluganovic, K Krawiecka…",2021,2021,92.68%,,11%,,,,,,,,,AR,A multitude of novel models and machine learning pipelines that learn the unique signature of AR users as they interact with the virtual environment and AR objects,User authentication,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3457339.3457983,~\cite{bhalla2021movear}
Device-based Authentication,AR-Based Authentication,Nod to Auth: Fluent AR/VR Authentication with User Head-Neck Modeling,"Xue Wang, Yang Zhang",5/1/21 0:00,2021,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3411763.3451769,~\cite{}
Device-based Authentication,AR-Based Authentication,Stay Home! Conducting Remote Usability Evaluations of Novel Real-World Authentication Systems Using Virtual Reality,"Florian Mathis, Joseph O'Hagan, Kami Vaniea, Mohamed Khamis",6/1/22 0:00,2022,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3531073.3531087,~\cite{}
Device-based Authentication,AR-Based Authentication,Authentication Framework for Augmented Reality with Data-Hiding Technique,"CC Lin, A Nshimiyimana, M SaberiKamarposhti…",2024,2024,,,,,,,,,,,,AR,"Utilizing data hiding to embed data within the content that AR objects interact with, enabling the identification of illegal and tampered AR objects",Content authentication,No,mdpi.com,https://www.mdpi.com/2073-8994/16/10/1253,~\cite{lin2024authentication}
Device-based Authentication,AR-Based Authentication,A Blockchain-based Multi-Factor Honeytoken Dynamic Authentication Mechanism,"Vassilis Papaspirou, Ioanna Kantzavelou, Yagmur Yigit",7/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3664476.3670944,~\cite{}
Device-based Authentication,AR-Based Authentication,Service Provider Accreditation: Enabling and Enforcing Privacy-by-Design in Credential-based Authentication Systems,"Stefan More, Jakob Heher, Edona Fasllija, Maximilian Mathie",7/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3664476.3669934,~\cite{}
Device-based Authentication,AR-Based Authentication,MetaFL: Privacy-preserving User Authentication in Virtual Reality with Federated Learning,"Ruizhi Cheng, Yuetong Wu, Ashish Kundu, Hugo Latapie",11/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3666025.3699322,~\cite{}
Device-based Authentication,AR-Based Authentication,Hardware Trust Anchor Authentication for Updatable IoT Devices,"Dominik Lorych, Christian Plappert",7/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3664476.3664479,~\cite{}
Device-based Authentication,AR-Based Authentication,zkLogin: Privacy-Preserving Blockchain Authentication with Existing Credentials,"Foteini Baldimtsi, Konstantinos Kryptos Chalkias, Yan Ji",12/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3658644.3690356,~\cite{}
Device-based Authentication,Band Authentication ,Wearable biometric authentication based on human body communication,"Zedong Nie;
Yuhang Liu;
Changjiang Duan;
Zhongzhou Ruan;
Jingzhen Li;
Lei Wang",2015,2015,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/7299362/,~\cite{}
Device-based Authentication,Band Authentication ,BiometricNet: Deep Learning based Biometric Identification using Wrist-Worn PPG,"Luke Everson;
Dwaipayan Biswas;
Madhuri Panwar;
Dimitrios Rodopoulos;
Amit Acharyya;
Chris H. Kim;
Chris Van Hoof;
Mario Konijnenburg;
Nick Van Helleputte",2018,2018,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/8350983/,~\cite{}
Device-based Authentication,Band Authentication ,Statistical Estimation of Body Temperature from Skin Temperature for Smart Band,"Young-Tae Kwak;
Yeonghyeon Lee;
Yongduck You",2019,2019,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/8939975/,~\cite{}
Device-based Authentication,Band Authentication ,Towards Motion Invariant Authentication for On-Body IoT Devices,"Yong Huang;
Mengnian Xu;
Wei Wang;
Hao Wang;
Tao Jiang;
Qian Zhang",2019,2019,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/8761982/,~\cite{}
Device-based Authentication,Band Authentication ,Addressing coverage concerns for Direct-to-Cloud wearables,"Ewout Brandsma;
Paul Gruijters;
Henk Huijgen;
Jesus Gonzalez Tejeria",2022,2022,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/9815726/,~\cite{}
Device-based Authentication,Band Authentication ,User Authentication Method for Hearables Using Sound Leakage Signals,"Takashi Amesaka, Hiroki Watanabe, Masanori Sugimoto, Yuta Sugiura",10/1/23 0:00,2023,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3594738.3611376,~\cite{}
Device-based Authentication,Band Authentication ,Swipe2Pair: Secure and Fast In-Band Wireless Device Pairing,"Yaqi He, Kai Zeng, Long Jiao, Brian L. Mark, Khaled N. Khasawneh",5/1/24 0:00,2024,,,,,,,,,,,,,,,,ACM,https://dl.acm.org/doi/10.1145/3643833.3656127,~\cite{}
Device-based Authentication,Band Authentication ,"Women's Defence System with Electric Shock, Image capturing and fingerprint Timer","Priya C;
Hariharasudhan V;
Lingash Kumar U;
Mohamed Apsar S;
Vijay A;
Balachander K",2024,2024,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/10560665/,~\cite{}
Device-based Authentication,Band Authentication ,Empirical Evaluation of a Cybersecurity Powered Human Body Data Communication over Wireless Body Area Network,"A. Jaya Mabel Rani;
Lalitha Ramachandran;
S Sangeethapriya;
Samuthira Pandi. V;
K Maniraj;
Anni Princy B",2024,2024,,,,,,,,,,,,,,,,IEEE,https://ieeexplore.ieee.org/document/10696304/,~\cite{}
